"year","scientificname","group","commonname","total_catch","total_biomass"
1996,"Lophius budegassa",1,"Black bellied angler",1630,0
1996,"Lophius budegassa",2,"Black bellied angler",0,0
1996,"Lophius piscatorius",1,"White anglerfish",2960,6520
1996,"Lophius piscatorius",2,"White anglerfish",23300,71600
1996,"Macrourus berglax",3,"Roughhead grenadier",35,0
1996,"Mallotus villosus",4,"Capelin",1570000,503000
1996,"Melanogrammus aeglefinus",3,"Haddock",14790,79800
1996,"Melanogrammus aeglefinus",4,"Haddock",465940,1606300
1996,"Merlangius merlangus",1,"Whiting",1560,0
1996,"Merlangius merlangus",3,"Whiting",84070,288310
1996,"Merlangius merlangus",4,"Whiting",15185,61500
1996,"Merluccius merluccius",1,"Hake",11600,12100
1996,"Merluccius merluccius",2,"Hake",47200,54100
1996,"Micromesistius poutassou",3,"Blue whiting",621000,3710000
1996,"Microstomus kitt",3,"Lemon sole",0,0
1996,"Molva dypterygia",3,"Blue ling",9790,0
1996,"Molva molva",3,"Ling",35600,0
1996,"Molva molva",4,"Ling",15320,14900
1996,"Mullus surmuletus",1,"Striped red mullet",1630,0
1996,"Mustelus spp",3,"Smooth-hound",0,0
1996,"Nephrops norvegicus",2,"Norway lobster",4610,0
1996,"Nephrops norvegicus",3,"Norway lobster",623,0
1996,"Nephrops norvegicus",4,"Norway lobster",45185.5,0
1996,"Pagellus bogaraveo",3,"Red seabream",52,0
1996,"Pagellus bogaraveo",4,"Red seabream",2028,0
1996,"Pandalus borealis",4,"Northern shrimp",54380,38201.86
1996,"Platichthys flesus",4,"European flounder",16510,0
1996,"Pleuronectes platessa",1,"European Plaice",262,0
1996,"Pleuronectes platessa",3,"European Plaice",5446,22990.674
1996,"Pleuronectes platessa",4,"European Plaice",143000,315000
1996,"Pollachius pollachius",1,"European pollack",1350,0
1996,"Pollachius pollachius",4,"European pollack",0,0
1996,"Pollachius virens",4,"Pollock",320000,1210000
1996,"Pollachius virens",4,"Pollock or saithe",39400,149000
1996,"Raja brachyura",3,"Blonde ray",0,0
1996,"Raja clavata",3,"Thornback skate",0,0
1996,"Raja microocellata",3,"Smalleyed ray",0,0
1996,"Raja montagui",3,"Spotted ray",0,0
1996,"Raja undulata",3,"Undulate ray",0,0
1996,"Reinhardtius hippoglossoides",4,"Greenland halibut",35914300,536000
1996,"Sardina pilchardus",1,"European pilchard",117000,538000
1996,"Sardina pilchardus",3,"Sardine",10300,0
1996,"Scomber scombrus",2,"Mackerel",563000,2830000
1996,"Scophthalmus maximus",4,"Turbot",209,0
1996,"Scophthalmus rhombus",3,"Brill",0,0
1996,"Scophthalmus rhombus",4,"Brill",62,0
1996,"Scyliorhinus canicula",1,"Lesser spotted dogfish",1100,0
1996,"Scyliorhinus canicula",3,"Lesser spotted dogfish",0,0
1996,"Sebastes mentella",4,"Beaked Redfish",216230,1.58
1996,"Sebastes mentella",4,"Deepwater Redfish",8080,652000
1996,"Sebastes norvegicus",4,"Golden Redfish",53900,413000
1996,"Solea solea",2,"Common sole",5850,17700
1996,"Solea solea",3,"Common sole",6013,31060
1996,"Solea solea",4,"Common sole",23760,60130
1996,"Sprattus sprattus",3,"Sprat",8420,0
1996,"Sprattus sprattus",4,"Sprat",543600,4015000
1996,"Squalus acanthias",3,"Spurdog",17300,41800
1996,"Squatina squatina",3,"Angel shark",1,0
1996,"Trachurus picturatus",4,"Blue jack mackerel",2920,0
1996,"Trachurus trachurus",1,"Horse mackerel",20400,0
1996,"Trachurus trachurus",3,"Horse mackerel",440800,2620000
1996,"Trisopterus esmarkii",4,"Norway pout",162320,398000
1997,"Amblyraja radiata",4,"Starry ray",0,0
1997,"Ammodytes spp",4,"Sand eel",1228480,4540000
1997,"Aphanopus carbo",3,"Black scabbardfish",6.83,0
1997,"Argentina silus",3,"Greater silver smelt",12,0
1997,"Argentina silus",4,"Greater silver smelt",22870,0
1997,"Beryx spp",3,"Beryx spp",545,0
1997,"Brosme brosme",3,"Tusk",7020,0
1997,"Brosme brosme",4,"Tusk",15336,29000
1997,"Capros aper",3,"Boarfish",0,0.863
1997,"Centrophorus squamosus",3,"Leafscale gulper shark",8180,0
1997,"Cetorhinus maximus",3,"Basking shark",471,0
1997,"Clupea harengus",3,"Herring",353650,4041400
1997,"Clupea harengus",4,"Herring",1915600,10698000
1997,"Coryphaenoides rupestris",3,"Roundnose grenadier",10566,0
1997,"Coryphaenoides rupestris",4,"Roundnose grenadier",8570,0
1997,"Dalatias licha",3,"Kitefin shark",156,0
1997,"Dicentrarchus labrax",1,"European seabass",742,0
1997,"Dicentrarchus labrax",3,"European seabass",0,20600
1997,"Engraulis encrasicolus",1,"Anchovy",5300,0
1997,"Engraulis encrasicolus",3,"Anchovy",22300,47100
1997,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1997,"Gadus morhua",3,"Atlantic Cod",12000,23400
1997,"Gadus morhua",3,"Atlantic cod",183980,636200
1997,"Gadus morhua",4,"Atlantic cod",1229127,2637222.28
1997,"Galeus melastomus",1,"Blackmouth dogfish",20,0
1997,"Glyptocephalus cynoglossus",3,"Witch flounder",3490,0
1997,"Hoplostethus atlanticus",3,"Orange roughy",1740,0
1997,"Lamna nasus",3,"Porbeagle shark",633,0
1997,"Lepidorhombus boscii",1,"Fourspotted megrim",1200,4420
1997,"Lepidorhombus spp",4,"Megrim spp",1010,0
1997,"Lepidorhombus spp",4,"Megrim spp.",6330,0
1997,"Lepidorhombus whiffiagonis",1,"Megrim",408,1580
1997,"Lepidorhombus whiffiagonis",2,"Megrim",17300,76900
1997,"Leucoraja naevus",4,"Cuckoo ray",0,0
1997,"Limanda limanda",4,"Dab",1250,0
1997,"Lophius budegassa",1,"Black bellied angler",1810,0
1997,"Lophius budegassa",2,"Black bellied angler",0,0
1997,"Lophius piscatorius",1,"White anglerfish",3720,7490
1997,"Lophius piscatorius",2,"White anglerfish",23000,66900
1997,"Macrourus berglax",3,"Roughhead grenadier",48,0
1997,"Mallotus villosus",4,"Capelin",1251000,909000
1997,"Melanogrammus aeglefinus",3,"Haddock",18140,54300
1997,"Melanogrammus aeglefinus",4,"Haddock",396800,1355100
1997,"Merlangius merlangus",1,"Whiting",1950,0
1997,"Merlangius merlangus",3,"Whiting",65610,337400
1997,"Merlangius merlangus",4,"Whiting",11617,54500
1997,"Merluccius merluccius",1,"Hake",10800,10700
1997,"Merluccius merluccius",2,"Hake",42500,46600
1997,"Micromesistius poutassou",3,"Blue whiting",640000,5390000
1997,"Microstomus kitt",3,"Lemon sole",0,0
1997,"Molva dypterygia",3,"Blue ling",11400,0
1997,"Molva molva",3,"Ling",30100,0
1997,"Molva molva",4,"Ling",14980,15200
1997,"Mullus surmuletus",1,"Striped red mullet",1570,0
1997,"Mustelus spp",3,"Smooth-hound",0,0
1997,"Nephrops norvegicus",2,"Norway lobster",4420,0
1997,"Nephrops norvegicus",3,"Norway lobster",340,0
1997,"Nephrops norvegicus",4,"Norway lobster",50769.1,0
1997,"Pagellus bogaraveo",3,"Red seabream",81,0
1997,"Pagellus bogaraveo",4,"Red seabream",2020,0
1997,"Pandalus borealis",4,"Northern shrimp",54200,41202.07
1997,"Platichthys flesus",4,"European flounder",15326,0
1997,"Pleuronectes platessa",1,"European Plaice",258,0
1997,"Pleuronectes platessa",3,"European Plaice",6894,22140.772
1997,"Pleuronectes platessa",4,"European Plaice",193000,381000
1997,"Pollachius pollachius",1,"European pollack",1380,0
1997,"Pollachius pollachius",4,"European pollack",0,0
1997,"Pollachius virens",4,"Pollock",286300,1270000
1997,"Pollachius virens",4,"Pollock or saithe",36700,156000
1997,"Raja brachyura",3,"Blonde ray",0,0
1997,"Raja clavata",1,"Thornback skate",0,0
1997,"Raja clavata",3,"Thornback skate",0,0
1997,"Raja microocellata",3,"Smalleyed ray",0,0
1997,"Raja montagui",3,"Spotted ray",0,0
1997,"Raja undulata",3,"Undulate ray",0,0
1997,"Reinhardtius hippoglossoides",4,"Greenland halibut",30309410,542000
1997,"Sardina pilchardus",1,"European pilchard",116000,477000
1997,"Sardina pilchardus",3,"Sardine",12200,0
1997,"Scomber scombrus",2,"Mackerel",573000,2840000
1997,"Scophthalmus maximus",4,"Turbot",220,0
1997,"Scophthalmus rhombus",3,"Brill",0,0
1997,"Scophthalmus rhombus",4,"Brill",26,0
1997,"Scyliorhinus canicula",1,"Lesser spotted dogfish",1160,0
1997,"Scyliorhinus canicula",2,"Lesser spotted dogfish",967,0
1997,"Scyliorhinus canicula",3,"Lesser spotted dogfish",0,0
1997,"Sebastes mentella",4,"Beaked Redfish",160899,1.43
1997,"Sebastes mentella",4,"Deepwater Redfish",8600,698000
1997,"Sebastes norvegicus",4,"Golden Redfish",56700,406800
1997,"Solea solea",2,"Common sole",6260,16400
1997,"Solea solea",3,"Common sole",6105,31980
1997,"Solea solea",4,"Common sole",15714,61190
1997,"Sprattus sprattus",3,"Sprat",10280,0
1997,"Sprattus sprattus",4,"Sprat",649800,4230000
1997,"Squalus acanthias",3,"Spurdog",15300,41000
1997,"Squatina squatina",3,"Angel shark",2,0
1997,"Trachurus picturatus",4,"Blue jack mackerel",2920,0
1997,"Trachurus trachurus",1,"Horse mackerel",29500,0
1997,"Trachurus trachurus",3,"Horse mackerel",554500,2390000
1997,"Trisopterus esmarkii",4,"Norway pout",166560,647000
1998,"Amblyraja radiata",4,"Starry ray",0,0
1998,"Ammodytes spp",4,"Sand eel",1010866,1833000
1998,"Aphanopus carbo",3,"Black scabbardfish",5.96,0
1998,"Argentina silus",3,"Greater silver smelt",0,0
1998,"Argentina silus",4,"Greater silver smelt",33400,0
1998,"Beryx spp",3,"Beryx spp",579,0
1998,"Brosme brosme",3,"Tusk",7510,0
1998,"Brosme brosme",4,"Tusk",21486,28600
1998,"Capros aper",3,"Boarfish",0,1.23
1998,"Centrophorus squamosus",3,"Leafscale gulper shark",7710,0
1998,"Cetorhinus maximus",3,"Basking shark",56,0
1998,"Clupea harengus",3,"Herring",487110,4395400
1998,"Clupea harengus",4,"Herring",1724400,9400000
1998,"Coryphaenoides rupestris",3,"Roundnose grenadier",12766,0
1998,"Coryphaenoides rupestris",4,"Roundnose grenadier",9420,0
1998,"Dalatias licha",3,"Kitefin shark",46,0
1998,"Dicentrarchus labrax",1,"European seabass",683,0
1998,"Dicentrarchus labrax",3,"European seabass",0,20800
1998,"Engraulis encrasicolus",1,"Anchovy",11000,0
1998,"Engraulis encrasicolus",3,"Anchovy",31600,96200
1998,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1998,"Gadus morhua",3,"Atlantic Cod",11400,19700
1998,"Gadus morhua",3,"Atlantic cod",192350,332000
1998,"Gadus morhua",4,"Atlantic cod",1043417,2276641.89
1998,"Galeus melastomus",1,"Blackmouth dogfish",22,0
1998,"Glyptocephalus cynoglossus",3,"Witch flounder",3790,0
1998,"Hoplostethus atlanticus",3,"Orange roughy",1690,0
1998,"Lamna nasus",3,"Porbeagle shark",612,0
1998,"Lepidorhombus boscii",1,"Fourspotted megrim",1500,5040
1998,"Lepidorhombus spp",4,"Megrim spp",1090,0
1998,"Lepidorhombus spp",4,"Megrim spp.",5510,0
1998,"Lepidorhombus whiffiagonis",1,"Megrim",482,1490
1998,"Lepidorhombus whiffiagonis",2,"Megrim",19700,79000
1998,"Leucoraja naevus",1,"Cuckoo ray",0,0
1998,"Leucoraja naevus",4,"Cuckoo ray",0,0
1998,"Limanda limanda",4,"Dab",960,0
1998,"Lophius budegassa",1,"Black bellied angler",2090,0
1998,"Lophius budegassa",2,"Black bellied angler",0,0
1998,"Lophius piscatorius",1,"White anglerfish",2980,6780
1998,"Lophius piscatorius",2,"White anglerfish",20500,56900
1998,"Macrourus berglax",3,"Roughhead grenadier",82,0
1998,"Mallotus villosus",4,"Capelin",1103000,2060000
1998,"Melanogrammus aeglefinus",3,"Haddock",14750,48400
1998,"Melanogrammus aeglefinus",4,"Haddock",342200,1070700
1998,"Merlangius merlangus",1,"Whiting",1860,0
1998,"Merlangius merlangus",3,"Whiting",51030,339290
1998,"Merlangius merlangus",4,"Whiting",13844,47500
1998,"Merluccius merluccius",1,"Hake",9360,10800
1998,"Merluccius merluccius",2,"Hake",35100,44200
1998,"Micromesistius poutassou",3,"Blue whiting",1130000,6730000
1998,"Microstomus kitt",3,"Lemon sole",0,0
1998,"Molva dypterygia",3,"Blue ling",11710,0
1998,"Molva molva",3,"Ling",36100,0
1998,"Molva molva",4,"Ling",18910,15200
1998,"Mullus surmuletus",1,"Striped red mullet",1340,0
1998,"Mustelus spp",3,"Smooth-hound",0,0
1998,"Nephrops norvegicus",2,"Norway lobster",5320,0
1998,"Nephrops norvegicus",3,"Norway lobster",514,0
1998,"Nephrops norvegicus",4,"Norway lobster",47882.3,0
1998,"Pagellus bogaraveo",3,"Red seabream",121,0
1998,"Pagellus bogaraveo",4,"Red seabream",1997,0
1998,"Pandalus borealis",4,"Northern shrimp",75470,37902.13
1998,"Platichthys flesus",4,"European flounder",14767,0
1998,"Pleuronectes platessa",1,"European Plaice",225,0
1998,"Pleuronectes platessa",3,"European Plaice",7055,23480.731
1998,"Pleuronectes platessa",4,"European Plaice",184000,387000
1998,"Pollachius pollachius",1,"European pollack",1170,0
1998,"Pollachius pollachius",4,"European pollack",0,0
1998,"Pollachius virens",4,"Pollock",296400,1313000
1998,"Pollachius virens",4,"Pollock or saithe",30700,154000
1998,"Raja brachyura",3,"Blonde ray",0,0
1998,"Raja clavata",1,"Thornback skate",0,0
1998,"Raja clavata",3,"Thornback skate",0,0
1998,"Raja microocellata",3,"Smalleyed ray",0,0
1998,"Raja montagui",3,"Spotted ray",0,0
1998,"Raja undulata",3,"Undulate ray",0,0
1998,"Reinhardtius hippoglossoides",4,"Greenland halibut",20411900,547000
1998,"Sardina pilchardus",1,"European pilchard",109000,386000
1998,"Sardina pilchardus",3,"Sardine",25100,0
1998,"Scomber scombrus",2,"Mackerel",666000,2790000
1998,"Scophthalmus maximus",4,"Turbot",163,0
1998,"Scophthalmus rhombus",3,"Brill",0,0
1998,"Scophthalmus rhombus",4,"Brill",22,0
1998,"Scyliorhinus canicula",1,"Lesser spotted dogfish",1090,0
1998,"Scyliorhinus canicula",2,"Lesser spotted dogfish",1320,0
1998,"Scyliorhinus canicula",3,"Lesser spotted dogfish",0,0
1998,"Sebastes mentella",4,"Beaked Redfish",151480,1.33
1998,"Sebastes mentella",4,"Deepwater Redfish",14000,771000
1998,"Sebastes norvegicus",4,"Golden Redfish",58600,399900
1998,"Solea solea",2,"Common sole",6030,16400
1998,"Solea solea",3,"Common sole",4628,28450
1998,"Solea solea",4,"Common sole",21505,75080
1998,"Sprattus sprattus",3,"Sprat",10130,0
1998,"Sprattus sprattus",4,"Sprat",661400,3880000
1998,"Squalus acanthias",3,"Spurdog",13900,40700
1998,"Squatina squatina",3,"Angel shark",0,0
1998,"Trachurus picturatus",4,"Blue jack mackerel",2580,0
1998,"Trachurus trachurus",1,"Horse mackerel",41600,0
1998,"Trachurus trachurus",3,"Horse mackerel",355500,2010000
1998,"Trisopterus esmarkii",4,"Norway pout",82190,284000
1999,"Amblyraja radiata",4,"Starry ray",0,0
1999,"Ammodytes spp",4,"Sand eel",743939,1139000
1999,"Aphanopus carbo",3,"Black scabbardfish",5.25,0
1999,"Argentina silus",3,"Greater silver smelt",228,0
1999,"Argentina silus",4,"Greater silver smelt",25100,0
1999,"Beryx spp",3,"Beryx spp",1000,0
1999,"Brosme brosme",3,"Tusk",7160,0
1999,"Brosme brosme",4,"Tusk",25384,28700
1999,"Capros aper",3,"Boarfish",0,0.906
1999,"Centrophorus squamosus",3,"Leafscale gulper shark",6480,0
1999,"Cetorhinus maximus",3,"Basking shark",33,0
1999,"Clupea harengus",3,"Herring",441430,4422100
1999,"Clupea harengus",4,"Herring",1703400,8707000
1999,"Coryphaenoides rupestris",3,"Roundnose grenadier",17420,0
1999,"Coryphaenoides rupestris",4,"Roundnose grenadier",4290,0
1999,"Dalatias licha",3,"Kitefin shark",45,0
1999,"Dicentrarchus labrax",1,"European seabass",720,0
1999,"Dicentrarchus labrax",3,"European seabass",0,21600
1999,"Engraulis encrasicolus",1,"Anchovy",7410,0
1999,"Engraulis encrasicolus",3,"Anchovy",27300,70200
1999,"Eutrigla gurnardus",3,"Grey gurnard",0,0
1999,"Gadus morhua",3,"Atlantic Cod",8590,16100
1999,"Gadus morhua",3,"Atlantic cod",112940,225550
1999,"Gadus morhua",4,"Atlantic cod",943128,2150011.69
1999,"Galeus melastomus",1,"Blackmouth dogfish",22,0
1999,"Glyptocephalus cynoglossus",3,"Witch flounder",4020,0
1999,"Hoplostethus atlanticus",3,"Orange roughy",1680,0
1999,"Lamna nasus",3,"Porbeagle shark",498,0
1999,"Lepidorhombus boscii",1,"Fourspotted megrim",1440,4560
1999,"Lepidorhombus spp",4,"Megrim spp",866,0
1999,"Lepidorhombus spp",4,"Megrim spp.",4830,0
1999,"Lepidorhombus whiffiagonis",1,"Megrim",386,1210
1999,"Lepidorhombus whiffiagonis",2,"Megrim",16600,67500
1999,"Leucoraja naevus",1,"Cuckoo ray",0,0
1999,"Leucoraja naevus",4,"Cuckoo ray",0,0
1999,"Limanda limanda",4,"Dab",1070,0
1999,"Lophius budegassa",1,"Black bellied angler",1880,0
1999,"Lophius budegassa",2,"Black bellied angler",0,0
1999,"Lophius piscatorius",1,"White anglerfish",1930,5770
1999,"Lophius piscatorius",2,"White anglerfish",18800,52700
1999,"Macrourus berglax",3,"Roughhead grenadier",151,0
1999,"Mallotus villosus",4,"Capelin",1037000,2780000
1999,"Melanogrammus aeglefinus",3,"Haddock",10290,50400
1999,"Melanogrammus aeglefinus",4,"Haddock",286400,1970900
1999,"Merlangius merlangus",1,"Whiting",212,0
1999,"Merlangius merlangus",3,"Whiting",89160,522120
1999,"Merlangius merlangus",4,"Whiting",8634,37000
1999,"Merluccius merluccius",1,"Hake",8690,12000
1999,"Merluccius merluccius",2,"Hake",40200,48500
1999,"Micromesistius poutassou",3,"Blue whiting",1260000,7080000
1999,"Microstomus kitt",3,"Lemon sole",0,0
1999,"Molva dypterygia",3,"Blue ling",14320,0
1999,"Molva molva",3,"Ling",26000,0
1999,"Molva molva",4,"Ling",17510,14200
1999,"Mullus surmuletus",1,"Striped red mullet",236,0
1999,"Mustelus spp",3,"Smooth-hound",0,0
1999,"Nephrops norvegicus",2,"Norway lobster",4360,0
1999,"Nephrops norvegicus",3,"Norway lobster",322,0
1999,"Nephrops norvegicus",4,"Norway lobster",54873,0
1999,"Pagellus bogaraveo",3,"Red seabream",122,0
1999,"Pagellus bogaraveo",4,"Red seabream",1763,0
1999,"Pandalus borealis",4,"Northern shrimp",88470,31501.86
1999,"Platichthys flesus",4,"European flounder",13186,0
1999,"Pleuronectes platessa",1,"European Plaice",4,0
1999,"Pleuronectes platessa",3,"European Plaice",6473,22270.786
1999,"Pleuronectes platessa",4,"European Plaice",166720,366010
1999,"Pollachius pollachius",1,"European pollack",157,0
1999,"Pollachius pollachius",4,"European pollack",0,0
1999,"Pollachius virens",4,"Pollock",303200,1325000
1999,"Pollachius virens",4,"Pollock or saithe",30900,133000
1999,"Raja brachyura",3,"Blonde ray",0,0
1999,"Raja clavata",1,"Thornback skate",0,0
1999,"Raja clavata",3,"Thornback skate",0,0
1999,"Raja microocellata",3,"Smalleyed ray",0,0
1999,"Raja montagui",3,"Spotted ray",0,0
1999,"Raja undulata",3,"Undulate ray",0,0
1999,"Reinhardtius hippoglossoides",4,"Greenland halibut",20419500,544000
1999,"Sardina pilchardus",1,"European pilchard",94100,370000
1999,"Sardina pilchardus",3,"Sardine",16100,0
1999,"Scomber scombrus",2,"Mackerel",640000,3060000
1999,"Scophthalmus maximus",4,"Turbot",155,0
1999,"Scophthalmus rhombus",3,"Brill",0,0
1999,"Scophthalmus rhombus",4,"Brill",25,0
1999,"Scyliorhinus canicula",1,"Lesser spotted dogfish",1370,0
1999,"Scyliorhinus canicula",2,"Lesser spotted dogfish",669,0
1999,"Scyliorhinus canicula",3,"Lesser spotted dogfish",0,0
1999,"Sebastes mentella",4,"Beaked Redfish",139153,1.24
1999,"Sebastes mentella",4,"Deepwater Redfish",11200,888000
1999,"Sebastes norvegicus",4,"Golden Redfish",60300,386900
1999,"Solea solea",2,"Common sole",5250,15900
1999,"Solea solea",3,"Common sole",5585,31500
1999,"Solea solea",4,"Common sole",24137,77510
1999,"Sprattus sprattus",3,"Sprat",21020,0
1999,"Sprattus sprattus",4,"Sprat",662700,3370000
1999,"Squalus acanthias",3,"Spurdog",12400,40500
1999,"Squatina squatina",3,"Angel shark",1,0
1999,"Trachurus picturatus",4,"Blue jack mackerel",1560,0
1999,"Trachurus trachurus",1,"Horse mackerel",27700,0
1999,"Trachurus trachurus",3,"Horse mackerel",336200,1810000
1999,"Trisopterus esmarkii",4,"Norway pout",96930,280000
2000,"Amblyraja radiata",4,"Starry ray",0,0
2000,"Ammodytes spp",4,"Sand eel",624323,1256000
2000,"Aphanopus carbo",3,"Black scabbardfish",7.21,0
2000,"Argentina silus",3,"Greater silver smelt",1910,0
2000,"Argentina silus",4,"Greater silver smelt",25510,0
2000,"Beryx spp",3,"Beryx spp",785,0
2000,"Brosme brosme",3,"Tusk",8300,0
2000,"Brosme brosme",4,"Tusk",21425,26900
2000,"Capros aper",3,"Boarfish",0,0.755
2000,"Centrophorus squamosus",3,"Leafscale gulper shark",7060,0
2000,"Cetorhinus maximus",3,"Basking shark",119,0
2000,"Clupea harengus",3,"Herring",450200,5316500
2000,"Clupea harengus",4,"Herring",1707200,8735000
2000,"Coryphaenoides rupestris",3,"Roundnose grenadier",17916,0
2000,"Coryphaenoides rupestris",4,"Roundnose grenadier",4730,0
2000,"Dalatias licha",3,"Kitefin shark",313,0
2000,"Dicentrarchus labrax",1,"European seabass",775,0
2000,"Dicentrarchus labrax",2,"European seabass",2360,0
2000,"Dicentrarchus labrax",3,"European seabass",1,22500
2000,"Engraulis encrasicolus",1,"Anchovy",2500,0
2000,"Engraulis encrasicolus",3,"Anchovy",37000,92800
2000,"Eutrigla gurnardus",3,"Grey gurnard",0,0
2000,"Gadus morhua",3,"Atlantic Cod",6540,15300
2000,"Gadus morhua",3,"Atlantic cod",91070,278270
2000,"Gadus morhua",4,"Atlantic cod",861328,2086351.29
2000,"Galeus melastomus",1,"Blackmouth dogfish",40,0
2000,"Glyptocephalus cynoglossus",3,"Witch flounder",4420,0
2000,"Hoplostethus atlanticus",3,"Orange roughy",1950,0
2000,"Lamna nasus",3,"Porbeagle shark",563,0
2000,"Lepidorhombus boscii",1,"Fourspotted megrim",1410,4410
2000,"Lepidorhombus spp",4,"Megrim spp",964,0
2000,"Lepidorhombus spp",4,"Megrim spp.",4460,0
2000,"Lepidorhombus whiffiagonis",1,"Megrim",288,1320
2000,"Lepidorhombus whiffiagonis",2,"Megrim",16900,71200
2000,"Leucoraja naevus",1,"Cuckoo ray",0,0
2000,"Leucoraja naevus",4,"Cuckoo ray",0,0
2000,"Limanda limanda",4,"Dab",876,0
2000,"Lophius budegassa",1,"Black bellied angler",1370,0
2000,"Lophius budegassa",2,"Black bellied angler",0,0
2000,"Lophius piscatorius",1,"White anglerfish",1260,5080
2000,"Lophius piscatorius",2,"White anglerfish",14500,48600
2000,"Macrourus berglax",3,"Roughhead grenadier",73,0
2000,"Mallotus villosus",4,"Capelin",1480000,4270000
2000,"Melanogrammus aeglefinus",3,"Haddock",12160,52590
2000,"Melanogrammus aeglefinus",4,"Haddock",265000,2604100
2000,"Merlangius merlangus",1,"Whiting",1450,0
2000,"Merlangius merlangus",3,"Whiting",86680,622310
2000,"Merlangius merlangus",4,"Whiting",16358,36200
2000,"Merluccius merluccius",1,"Hake",9740,12600
2000,"Merluccius merluccius",2,"Hake",42100,54000
2000,"Micromesistius poutassou",3,"Blue whiting",1410000,7440000
2000,"Microstomus kitt",3,"Lemon sole",0,0
2000,"Molva dypterygia",3,"Blue ling",12188,0
2000,"Molva dypterygia",4,"Blue ling",2540,0
2000,"Molva molva",3,"Ling",24900,0
2000,"Molva molva",4,"Ling",13350,14300
2000,"Mullus surmuletus",1,"Striped red mullet",1890,0
2000,"Mustelus spp",3,"Smooth-hound",0,0
2000,"Nephrops norvegicus",2,"Norway lobster",4520,0
2000,"Nephrops norvegicus",3,"Norway lobster",243,0
2000,"Nephrops norvegicus",4,"Norway lobster",52237,0
2000,"Pagellus bogaraveo",3,"Red seabream",220,0
2000,"Pagellus bogaraveo",4,"Red seabream",1345,0
2000,"Pandalus borealis",4,"Northern shrimp",93660,30801.65
2000,"Platichthys flesus",4,"European flounder",14362,0
2000,"Pleuronectes platessa",1,"European Plaice",230,0
2000,"Pleuronectes platessa",3,"European Plaice",5457,19990.714
2000,"Pleuronectes platessa",4,"European Plaice",141250,342460
2000,"Pollachius pollachius",1,"European pollack",1500,0
2000,"Pollachius pollachius",4,"European pollack",0,0
2000,"Pollachius virens",4,"Pollock",274300,1414000
2000,"Pollachius virens",4,"Pollock or saithe",32800,144000
2000,"Raja brachyura",3,"Blonde ray",0,0
2000,"Raja clavata",1,"Thornback skate",0,0
2000,"Raja clavata",3,"Thornback skate",0,0
2000,"Raja microocellata",3,"Smalleyed ray",0,0
2000,"Raja montagui",3,"Spotted ray",0,0
2000,"Raja undulata",3,"Undulate ray",0,0
2000,"Reinhardtius hippoglossoides",4,"Greenland halibut",26614300,539000
2000,"Sardina pilchardus",1,"European pilchard",85800,317000
2000,"Sardina pilchardus",3,"Sardine",17500,0
2000,"Scomber scombrus",2,"Mackerel",739000,3040000
2000,"Scophthalmus maximus",4,"Turbot",192,0
2000,"Scophthalmus rhombus",3,"Brill",0,0
2000,"Scophthalmus rhombus",4,"Brill",28,0
2000,"Scyliorhinus canicula",1,"Lesser spotted dogfish",960,0
2000,"Scyliorhinus canicula",2,"Lesser spotted dogfish",1120,0
2000,"Scyliorhinus canicula",3,"Lesser spotted dogfish",0,0
2000,"Sebastes mentella",4,"Beaked Redfish",158682,1.16
2000,"Sebastes mentella",4,"Deepwater Redfish",10100,868000
2000,"Sebastes norvegicus",4,"Golden Redfish",57300,375400
2000,"Solea solea",1,"Common sole",900,0
2000,"Solea solea",2,"Common sole",5760,15500
2000,"Solea solea",3,"Common sole",4760,30670
2000,"Solea solea",4,"Common sole",23245,66510
2000,"Sprattus sprattus",3,"Sprat",12300,0
2000,"Sprattus sprattus",4,"Sprat",604100,3700000
2000,"Squalus acanthias",3,"Spurdog",15900,40600
2000,"Squatina squatina",3,"Angel shark",0,0
2000,"Trachurus picturatus",4,"Blue jack mackerel",1400,0
2000,"Trachurus trachurus",1,"Horse mackerel",26200,0
2000,"Trachurus trachurus",3,"Horse mackerel",248100,1630000
2000,"Trisopterus esmarkii",4,"Norway pout",187010,598000
2001,"Amblyraja radiata",4,"Starry ray",0,0
2001,"Ammodytes spp",4,"Sand eel",865930,1194000
2001,"Aphanopus carbo",3,"Black scabbardfish",9.57,0
2001,"Argentina silus",3,"Greater silver smelt",4550,0
2001,"Argentina silus",4,"Greater silver smelt",44040,0
2001,"Beryx spp",3,"Beryx spp",607,0
2001,"Brosme brosme",3,"Tusk",9250,0
2001,"Brosme brosme",4,"Tusk",17643,27600
2001,"Capros aper",3,"Boarfish",120,0.83
2001,"Centrophorus squamosus",3,"Leafscale gulper shark",10100,0
2001,"Cetorhinus maximus",3,"Basking shark",83,0
2001,"Clupea harengus",3,"Herring",434760,5944000
2001,"Clupea harengus",4,"Herring",1234800,8248000
2001,"Coryphaenoides rupestris",3,"Roundnose grenadier",24563,0
2001,"Coryphaenoides rupestris",4,"Roundnose grenadier",5150,0
2001,"Dalatias licha",3,"Kitefin shark",189,0
2001,"Dicentrarchus labrax",1,"European seabass",635,0
2001,"Dicentrarchus labrax",2,"European seabass",2310,0
